Date,Open,High,Low,Close,Volume,Adj Close
2015-03-31,2084.05005,2084.05005,2067.04004,2067.88989,3376550000,2067.88989
2015-03-30,2064.11011,2088.96997,2064.11011,2086.23999,2917690000,2086.23999
2015-03-27,2055.78003,2062.83008,2052.95996,2061.02002,3008550000,2061.02002
2015-03-26,2059.93994,2067.1499,2045.50,2056.1499,3510670000,2056.1499
2015-03-25,2093.1001,2097.42993,2061.05005,2061.05005,3521140000,2061.05005
2015-03-24,2103.93994,2107.62988,2091.50,2091.50,3189820000,2091.50
2015-03-23,2107.98999,2114.86011,2104.41992,2104.41992,3267960000,2104.41992
2015-03-20,2090.32007,2113.91992,2090.32007,2108.1001,5554120000,2108.1001
2015-03-19,2098.68994,2098.68994,2085.56006,2089.27002,3305220000,2089.27002
2015-03-18,2072.84009,2106.8501,2061.22998,2099.50,4128210000,2099.50
2015-03-17,2080.59009,2080.59009,2065.08008,2074.28003,3221840000,2074.28003
2015-03-16,2055.3501,2081.40991,2055.3501,2081.18994,3295600000,2081.18994
2015-03-13,2064.56006,2064.56006,2041.17004,2053.3999,3498560000,2053.3999
2015-03-12,2041.09998,2066.40991,2041.09998,2065.94995,3405860000,2065.94995
2015-03-11,2044.68994,2050.08008,2039.68994,2040.23999,3406570000,2040.23999
2015-03-10,2076.13989,2076.13989,2044.16003,2044.16003,3668900000,2044.16003
2015-03-09,2072.25,2083.48999,2072.20996,2079.42993,3349090000,2079.42993
2015-03-06,2100.90991,2100.90991,2067.27002,2071.26001,3853570000,2071.26001
2015-03-05,2098.54004,2104.25,2095.21997,2101.04004,3103030000,2101.04004
2015-03-04,2107.71997,2107.71997,2094.48999,2098.53003,3421110000,2098.53003
2015-03-03,2115.76001,2115.76001,2098.26001,2107.78003,3262300000,2107.78003
2015-03-02,2105.22998,2117.52002,2104.50,2117.38989,3409490000,2117.38989
2015-02-27,2110.87988,2112.73999,2103.75,2104.50,3547380000,2104.50
2015-02-26,2113.90991,2113.90991,2103.76001,2110.73999,3408690000,2110.73999
2015-02-25,2115.30005,2119.59009,2109.88989,2113.86011,3312340000,2113.86011
